Dataset,VIF,Algorithm,MCC,Features
adult,17,NSGA-II,0.5932624586014026,1
adult,17,DE,0.5932624586014026,1
adult,17,Hybrid_PSO_DE,0.5932624586014026,1
adult,18,NSGA-II,0.5932624586014026,2
adult,18,DE,0.5932624586014026,1
adult,18,Hybrid_PSO_DE,0.5932624586014026,1
adult,19,NSGA-II,0.5932624586014026,1
adult,19,DE,0.5932624586014026,1
adult,19,Hybrid_PSO_DE,0.5932624586014026,1
adult,20,NSGA-II,0.5932624586014026,1
adult,20,DE,0.5932624586014026,1
adult,20,Hybrid_PSO_DE,0.5932624586014026,1
