Dataset,VIF_Threshold,Algorithm,After_ChiSq,After_VIF,Final,MCC,MCC_std,Sensitivity,Specificity,AUC
child,5,NSGA-II,12,5,3,0.7029618251063569,0.05605766571664557,0.8795566502463055,0.8154838709677419,0.8798360612320568
child,5,DE,12,5,3,0.7029618251063569,0.05605766571664557,0.8795566502463055,0.8154838709677419,0.8798360612320568
child,5,Hybrid_PSO_DE,12,5,3,0.7029618251063569,0.05605766571664557,0.8795566502463055,0.8154838709677419,0.8798360612320568
child,8,NSGA-II,12,5,3,0.7029618251063569,0.05605766571664557,0.8795566502463055,0.8154838709677419,0.8798360612320568
child,8,DE,12,5,3,0.7029618251063569,0.05605766571664557,0.8795566502463055,0.8154838709677419,0.8798360612320568
child,8,Hybrid_PSO_DE,12,5,3,0.7029618251063569,0.05605766571664557,0.8795566502463055,0.8154838709677419,0.8798360612320568
child,10,NSGA-II,12,5,3,0.7029618251063569,0.05605766571664557,0.8795566502463055,0.8154838709677419,0.8798360612320568
child,10,DE,12,5,3,0.7029618251063569,0.05605766571664557,0.8795566502463055,0.8154838709677419,0.8798360612320568
child,10,Hybrid_PSO_DE,12,5,3,0.4408026295328943,0.17708563230829638,0.751231527093596,0.6759139784946236,0.8025701838021082
child,13,NSGA-II,12,5,3,0.7029618251063569,0.05605766571664557,0.8795566502463055,0.8154838709677419,0.8798360612320568
child,13,DE,12,5,3,0.7029618251063569,0.05605766571664557,0.8795566502463055,0.8154838709677419,0.8798360612320568
child,13,Hybrid_PSO_DE,12,5,3,0.7029618251063569,0.05605766571664557,0.8795566502463055,0.8154838709677419,0.8798360612320568
adolescent,5,NSGA-II,9,5,3,0.4996800928651597,0.2695374477964095,0.8435897435897436,0.6305555555555555,0.7657407407407407
adolescent,5,DE,9,5,3,0.4996800928651597,0.2695374477964095,0.8435897435897436,0.6305555555555555,0.7657407407407407
adolescent,5,Hybrid_PSO_DE,9,5,3,0.4996800928651597,0.2695374477964095,0.8435897435897436,0.6305555555555555,0.7657407407407407
adolescent,8,NSGA-II,9,7,5,0.6429210587499505,0.1591411180573192,0.841025641025641,0.8055555555555556,0.9181623931623932
adolescent,8,DE,9,7,3,0.6264162627702785,0.14846961028263284,0.8551282051282051,0.7583333333333333,0.8100783475783476
adolescent,8,Hybrid_PSO_DE,9,7,5,0.6429210587499505,0.1591411180573192,0.841025641025641,0.8055555555555556,0.9181623931623932
adolescent,10,NSGA-II,9,8,3,0.6264162627702785,0.14846961028263284,0.8551282051282051,0.7583333333333333,0.8100783475783476
adolescent,10,DE,9,8,4,0.5908260166945353,0.2351220497786821,0.9025641025641026,0.6555555555555556,0.8505519943019942
adolescent,10,Hybrid_PSO_DE,9,8,5,0.7913981308280107,0.07507405614822094,0.9525641025641025,0.8,0.9210559116809117
adolescent,13,NSGA-II,9,8,4,0.5848665698046197,0.1149799064671054,0.823076923076923,0.75,0.8713497150997151
adolescent,13,DE,9,8,3,0.6264162627702785,0.14846961028263284,0.8551282051282051,0.7583333333333333,0.8100783475783476
adolescent,13,Hybrid_PSO_DE,9,8,3,0.6264162627702785,0.14846961028263284,0.8551282051282051,0.7583333333333333,0.8100783475783476
adult,5,NSGA-II,15,5,1,0.5932624586014026,0.01801379281279522,0.7246088193456615,0.8776699029126214,0.8011393611291414
adult,5,DE,15,5,1,0.5932624586014026,0.01801379281279522,0.7246088193456615,0.8776699029126214,0.8011393611291414
adult,5,Hybrid_PSO_DE,15,5,1,0.5932624586014026,0.01801379281279522,0.7246088193456615,0.8776699029126214,0.8011393611291414
adult,8,NSGA-II,15,5,1,0.5932624586014026,0.01801379281279522,0.7246088193456615,0.8776699029126214,0.8011393611291414
adult,8,DE,15,5,1,0.5932624586014026,0.01801379281279522,0.7246088193456615,0.8776699029126214,0.8011393611291414
adult,8,Hybrid_PSO_DE,15,5,1,0.5932624586014026,0.01801379281279522,0.7246088193456615,0.8776699029126214,0.8011393611291414
adult,10,NSGA-II,15,5,1,0.5932624586014026,0.01801379281279522,0.7246088193456615,0.8776699029126214,0.8011393611291414
adult,10,DE,15,5,2,0.5932624586014026,0.01801379281279522,0.7246088193456615,0.8776699029126214,0.8219068071648552
adult,10,Hybrid_PSO_DE,15,5,2,0.5932624586014026,0.01801379281279522,0.7246088193456615,0.8776699029126214,0.8219068071648552
adult,13,NSGA-II,15,5,1,0.5932624586014026,0.01801379281279522,0.7246088193456615,0.8776699029126214,0.8011393611291414
adult,13,DE,15,5,1,0.5932624586014026,0.01801379281279522,0.7246088193456615,0.8776699029126214,0.8011393611291414
adult,13,Hybrid_PSO_DE,15,5,1,0.5932624586014026,0.01801379281279522,0.7246088193456615,0.8776699029126214,0.8011393611291414
